Date,District,Temperature,Humidity,WindSpeed,Pressure,Rainfall,HeatIndex,RiskCategory
2024-07-02,Koraput,23.3,84,18.3,1004,43.9,23.9,Normal
2024-07-02,Malkangiri,32.8,92,19.1,1000,8.6,53.7,Danger
2024-07-02,Mayurbhanj,32.5,87,21.5,1002,10.2,49.6,Danger
2024-07-02,Nabarangapur,32.7,89,15.9,1001,0,51.6,Danger
2024-07-02,Nayagarh,27.7,81,17.6,1004,41.8,31.5,Normal
2024-07-02,Nuapada,31.4,92,14.6,1004,38,47.2,Danger
2024-07-02,Puri,29.5,94,15,1003,20.9,40.2,Caution
2024-07-02,Rayagada,30.6,90,21.8,1003,0,43.1,Extreme Caution
2024-07-02,Sambalpur,34,73,15.6,1001,16.8,48.3,Danger
2024-07-02,Subarnapur,28.1,83,15.7,1000,12.6,32.8,Normal
2024-07-02,Sundargarh,29.8,79,15.9,1003,2.7,36.8,Caution
2024-07-03,Angul,35.6,75,20,1002,15.3,55.8,Extreme Danger
2024-07-03,Balangir,32.4,86,17.8,1002,0,48.7,Danger
2024-07-03,Baleshwar,30.7,79,21.4,1001,24.9,39.6,Caution
2024-07-03,Bargarh,29.7,83,21,1003,43.8,37.6,Caution
2024-07-03,Bhadrak,27.2,89,14.2,1002,41.3,31.5,Normal
2024-07-03,Boudh,30.4,91,16.3,1001,0,42.6,Extreme Caution
2024-07-03,Cuttack,31.3,83,14.2,1002,0,43,Extreme Caution
2024-07-03,Debagarh,27.9,86,16.3,1002,34.6,32.8,Normal
2024-07-03,Dhenkanal,28,78,18.9,1000,0,31.8,Normal
2024-07-03,Gajapati,31.3,85,19.8,1001,34.6,43.8,Extreme Caution
2024-07-03,Ganjam,31.4,89,15.1,1001,9.6,45.9,Extreme Caution
2024-07-03,Jagatsinghapur,29.2,90,18.8,1002,7.1,37.9,Caution
2024-07-03,Jajapur,31.9,85,19.8,1000,3.6,46.2,Danger
2024-07-03,Jharsuguda,30.6,87,20.8,1002,41.4,42,Extreme Caution
2024-07-03,Kalahandi,31,80,20.8,1000,11.2,40.9,Caution
2024-07-03,Kandhamal,23.6,87,16,1000,10.7,24.3,Normal
2024-07-03,Kendrapara,29.1,91,15.8,1000,0,37.9,Caution
2024-07-03,Kendujhar,28.8,83,16.6,1001,2.3,34.8,Normal
2024-07-03,Khordha,31.2,81,21.4,1004,0,41.9,Extreme Caution
2024-07-03,Koraput,24.9,93,19.2,1003,0,25.9,Normal
2024-07-03,Malkangiri,28.7,81,14.4,1003,1.9,34.1,Normal
2024-07-03,Mayurbhanj,27.3,91,20.5,1003,20.2,32.1,Normal
2024-07-03,Nabarangapur,28.8,90,14,1001,43.7,36.6,Caution
2024-07-03,Nayagarh,28.7,83,20,1001,24.1,34.5,Normal
2024-07-03,Nuapada,30.4,92,15,1001,24.1,43,Extreme Caution
2024-07-03,Puri,26.7,97,18.9,1004,0,31.4,Normal
2024-07-03,Rayagada,30.9,85,17.1,1000,0,42.3,Extreme Caution
2024-07-03,Sambalpur,34.1,76,16.3,1002,0,50.3,Danger
2024-07-03,Subarnapur,31.8,80,20.3,1003,0,43.6,Extreme Caution
2024-07-03,Sundargarh,27.9,90,14.4,1003,0,33.7,Normal
2024-07-04,Angul,30.4,76,15.9,1000,35.4,37.7,Caution
2024-07-04,Balangir,30.5,85,15.5,1003,35,40.9,Caution
2024-07-04,Baleshwar,30.5,92,20.5,1002,31.6,43.4,Extreme Caution
2024-07-04,Bargarh,29.1,86,21,1002,0,36.5,Caution
2024-07-04,Bhadrak,27.5,80,16.4,1000,0,30.9,Normal
2024-07-04,Boudh,32.9,80,18.7,1002,35.9,47.8,Danger
2024-07-04,Cuttack,32.1,90,16.1,1003,39.8,49.4,Danger
2024-07-04,Debagarh,28.9,78,17.8,1003,36.1,34,Normal
2024-07-04,Dhenkanal,32.4,88,14.6,1001,41.5,49.7,Danger
2024-07-04,Gajapati,30.5,78,19,1001,5.3,38.6,Caution
2024-07-04,Ganjam,31.4,92,15.6,1001,30,47.2,Danger
2024-07-04,Jagatsinghapur,30.5,94,19.1,1003,0,44.2,Extreme Caution
2024-07-04,Jajapur,30.2,85,15.3,1003,9,39.8,Caution
2024-07-04,Jharsuguda,32.4,86,16.6,1003,0,48.7,Danger
2024-07-04,Kalahandi,32.2,85,20.1,1003,19.8,47.4,Danger
2024-07-04,Kandhamal,24.4,83,19.5,1003,0,25.1,Normal
2024-07-04,Kendrapara,29.3,98,16.8,1004,29.4,40.8,Caution
2024-07-04,Kendujhar,27.7,87,21.1,1003,13.8,32.5,Normal
2024-07-04,Khordha,28.7,89,15.7,1003,21.5,36,Caution
2024-07-04,Koraput,26.9,83,21,1003,7.3,29.8,Normal
2024-07-04,Malkangiri,27.2,79,15.1,1004,17.1,30.1,Normal
2024-07-04,Mayurbhanj,28.9,78,18.9,1003,0,34,Normal
2024-07-04,Nabarangapur,32.4,90,18.2,1002,21.3,50.8,Danger
2024-07-04,Nayagarh,32.1,82,21,1003,0,45.6,Extreme Caution
2024-07-04,Nuapada,28.7,91,17.2,1002,0,36.5,Caution
2024-07-04,Puri,26.2,98,21.9,1003,4.3,27.4,Normal
2024-07-04,Rayagada,32,92,16.2,1003,1.9,49.9,Danger
2024-07-04,Sambalpur,34.8,73,19.3,1002,0,51.3,Danger
2024-07-04,Subarnapur,29.6,84,17.5,1004,0,37.5,Caution
2024-07-04,Sundargarh,28.1,90,14.5,1002,21.1,34.3,Normal
2024-07-05,Angul,32.4,76,19.1,1000,0,44.1,Extreme Caution
2024-07-05,Balangir,35.2,87,14.6,1001,33.9,62.5,Extreme Danger
2024-07-05,Baleshwar,29.7,91,17.8,1002,34.3,40,Caution
2024-07-05,Bargarh,27.1,85,20.8,1003,6.4,30.5,Normal
2024-07-05,Bhadrak,31.4,82,17.1,1003,8.8,43,Extreme Caution
2024-07-05,Boudh,27.8,80,19.1,1003,39.9,31.6,Normal
2024-07-05,Cuttack,30.8,91,14.3,1001,28.6,44.3,Extreme Caution
2024-07-05,Debagarh,31.5,78,16,1002,20.5,41.8,Extreme Caution
2024-07-05,Dhenkanal,29.5,78,21.9,1002,25.2,35.7,Caution
2024-07-05,Gajapati,27.2,85,19.2,1001,37.6,30.7,Normal
2024-07-05,Ganjam,28.1,92,21.5,1001,0,34.8,Normal
2024-07-05,Jagatsinghapur,31.2,92,19.8,1002,31.4,46.4,Danger
2024-07-05,Jajapur,32.5,86,14.1,1004,0,49.1,Danger
2024-07-05,Jharsuguda,33.6,74,15.6,1000,25.4,47.4,Danger
2024-07-05,Kalahandi,30.3,80,21,1001,18.3,38.6,Caution
2024-07-05,Kandhamal,24,94,14.2,1001,39.1,24.9,Normal
2024-07-05,Kendrapara,30.9,86,19.6,1001,43.4,42.7,Extreme Caution
2024-07-05,Kendujhar,28,91,21.8,1002,24.2,34.2,Normal
2024-07-05,Khordha,28.8,82,15.4,1001,12.8,34.6,Normal
2024-07-05,Koraput,27.9,92,21.8,1003,0,34.1,Normal
2024-07-05,Malkangiri,32.5,90,19.3,1000,0,51.2,Danger
2024-07-05,Mayurbhanj,29.4,91,15.5,1003,16.6,38.9,Caution
2024-07-05,Nabarangapur,29.2,85,19.8,1001,18.3,36.5,Caution
2024-07-05,Nayagarh,31.6,82,14.4,1004,0,43.7,Extreme Caution
2024-07-05,Nuapada,27.1,84,18.9,1002,34.9,30.4,Normal
2024-07-05,Puri,26.8,92,20.9,1002,13.7,30.9,Normal
2024-07-05,Rayagada,27.4,90,19.4,1003,0.9,32.2,Normal
2024-07-05,Sambalpur,35.6,83,18.4,1003,0,61.5,Extreme Danger
2024-07-05,Subarnapur,27.2,87,15.1,1000,0,31.1,Normal
2024-07-05,Sundargarh,28,90,20.8,1001,25.4,34,Normal
2024-07-06,Angul,32.9,86,18.1,1001,0,50.9,Danger
2024-07-06,Balangir,35.8,85,21.9,1001,18.4,64,Extreme Danger
2024-07-06,Baleshwar,32.5,89,16.4,1003,18.3,50.7,Danger
2024-07-06,Bargarh,30.5,90,16.6,1000,0,42.7,Extreme Caution
2024-07-06,Bhadrak,31.6,84,18.3,1002,0,44.6,Extreme Caution
2024-07-06,Boudh,30.7,83,14.3,1001,0,40.9,Caution
2024-07-06,Cuttack,27.9,91,21,1004,0,33.9,Normal
2024-07-06,Debagarh,27.5,79,21.1,1001,0,30.8,Normal
2024-07-06,Dhenkanal,27.1,84,14.7,1000,2.9,30.4,Normal
2024-07-06,Gajapati,31.3,88,15.8,1000,32.4,45.1,Extreme Caution
2024-07-06,Ganjam,26.3,91,14.9,1002,38.4,27.4,Normal
2024-07-06,Jagatsinghapur,29.3,86,15.2,1003,0,37.1,Caution
2024-07-06,Jajapur,30.1,78,19.1,1004,0,37.4,Caution
2024-07-06,Jharsuguda,31.1,81,18.1,1003,0,41.6,Extreme Caution
2024-07-06,Kalahandi,27.2,83,17.1,1001,0,30.5,Normal
2024-07-06,Kandhamal,23.1,85,20,1002,16,23.7,Normal
2024-07-06,Kendrapara,31,92,14.6,1003,0,45.5,Extreme Caution
2024-07-06,Kendujhar,32,83,20.3,1001,0,45.7,Extreme Caution
2024-07-06,Khordha,30.4,82,17.3,1002,0,39.5,Caution
2024-07-06,Koraput,25.1,87,15.7,1003,43.7,25.9,Normal
2024-07-06,Malkangiri,32,83,21.5,1003,0,45.7,Extreme Caution
2024-07-06,Mayurbhanj,28.2,83,20.3,1003,10.2,33.1,Normal
2024-07-06,Nabarangapur,27.3,85,16.7,1000,0,31,Normal
2024-07-06,Nayagarh,28.6,80,20.2,1001,9.5,33.7,Normal
2024-07-06,Nuapada,32.4,90,15.1,1002,0,50.8,Danger
2024-07-06,Puri,27.9,100,14,1002,34.1,36,Caution
2024-07-06,Rayagada,32.1,81,20.2,1000,2.6,45.2,Extreme Caution
2024-07-06,Sambalpur,31.1,73,18.3,1002,19.5,38.8,Caution
2024-07-06,Subarnapur,32.6,80,14.9,1004,42.2,46.6,Danger
2024-07-06,Sundargarh,29.6,78,15.9,1003,35.2,36,Caution
2024-07-07,Angul,33.5,83,19.1,1002,0,51.8,Danger
2024-07-07,Balangir,35.1,82,21.7,1004,35.1,58.4,Extreme Danger
2024-07-07,Baleshwar,27.5,83,18.8,1002,44.3,31.3,Normal
2024-07-07,Bargarh,29.7,81,16.4,1002,29.1,37,Caution
2024-07-07,Bhadrak,31.1,82,15.4,1000,0,41.9,Extreme Caution
2024-07-07,Boudh,28.5,78,20.3,1003,17.2,33,Normal
2024-07-07,Cuttack,32.4,83,16.8,1003,19.5,47.2,Danger
2024-07-07,Debagarh,28.8,86,19.9,1002,7.2,35.5,Caution
2024-07-07,Dhenkanal,31.5,89,16.9,1000,41.7,46.3,Danger
2024-07-07,Gajapati,32.2,92,21.2,1003,0,50.9,Danger
2024-07-07,Ganjam,27.6,93,20.4,1001,0,33.4,Normal
2024-07-07,Jagatsinghapur,31.6,94,15.8,1000,32.8,49.1,Danger
2024-07-07,Jajapur,31.9,86,21.6,1001,40.9,46.6,Danger
2024-07-07,Jharsuguda,31.2,82,14,1004,20.6,42.3,Extreme Caution
2024-07-07,Kalahandi,32.1,91,17.3,1001,6.4,49.9,Danger
2024-07-07,Kandhamal,28.6,86,19.1,1003,15.1,34.9,Normal
2024-07-07,Kendrapara,30.2,87,18.1,1003,2.8,40.5,Caution
2024-07-07,Kendujhar,32.1,80,18.1,1001,0,44.7,Extreme Caution
2024-07-07,Khordha,28.5,79,20.4,1004,37.5,33.2,Normal
2024-07-07,Koraput,23.3,94,16.8,1003,38.1,24.1,Normal
2024-07-07,Malkangiri,27.4,89,20.9,1003,0,32,Normal
2024-07-07,Mayurbhanj,28.8,83,16.3,1002,36.5,34.8,Normal
2024-07-07,Nabarangapur,30.3,88,20.8,1002,12.6,41.2,Extreme Caution
2024-07-07,Nayagarh,30.7,84,14.7,1004,9.4,41.3,Extreme Caution
2024-07-07,Nuapada,28.1,91,16.5,1003,15.2,34.5,Normal
2024-07-07,Puri,31.3,97,14.7,1001,14.6,49.1,Danger
2024-07-07,Rayagada,28.3,90,17.3,1003,16.4,34.9,Normal
2024-07-07,Sambalpur,34.4,77,16.8,1003,3.4,52.1,Danger
2024-07-07,Subarnapur,28.5,91,16.4,1000,0,35.8,Caution
2024-07-07,Sundargarh,31.1,92,20.6,1000,24.4,45.9,Extreme Caution
2024-07-08,Angul,34.7,86,18.1,1001,42.3,59.2,Extreme Danger
2024-07-08,Balangir,35.4,78,15.5,1000,0,57,Extreme Danger
2024-07-08,Baleshwar,30.1,80,15.4,1002,0,38,Caution
2024-07-08,Bargarh,27.8,88,17.9,1003,0,33,Normal
2024-07-08,Bhadrak,28.1,90,20.5,1002,0,34.3,Normal
2024-07-08,Boudh,30.2,86,15.1,1001,19.4,40.2,Caution
2024-07-08,Cuttack,32.3,91,19.6,1001,34.9,50.8,Danger
2024-07-08,Debagarh,32.7,91,20.3,1003,0,52.7,Danger
2024-07-08,Dhenkanal,31,82,15.1,1002,43.5,41.6,Extreme Caution
2024-07-08,Gajapati,31.9,91,18.2,1001,0,49,Danger
2024-07-08,Ganjam,28.8,88,18,1003,0,36,Caution
2024-07-08,Jagatsinghapur,30.6,91,21.4,1003,30,43.4,Extreme Caution
2024-07-08,Jajapur,31.9,82,22,1001,41.3,44.9,Extreme Caution
2024-07-08,Jharsuguda,31.6,85,16.9,1003,0,45,Extreme Caution
2024-07-08,Kalahandi,27.2,81,21.3,1003,17.3,30.3,Normal
2024-07-08,Kandhamal,26.7,89,16.7,1002,0,30.1,Normal
2024-07-08,Kendrapara,30.8,88,15.3,1002,29.3,43.1,Extreme Caution
2024-07-08,Kendujhar,29.3,80,16.5,1002,24.8,35.6,Caution
2024-07-08,Khordha,30.7,83,14.4,1001,27.1,40.9,Caution
2024-07-08,Koraput,24.5,96,19.4,1000,22.8,25.5,Normal
2024-07-08,Malkangiri,29.6,87,20.3,1003,18.2,38.4,Caution
2024-07-08,Mayurbhanj,28.9,82,14.9,1003,43.8,34.9,Normal
2024-07-08,Nabarangapur,27.7,78,19.3,1003,13.1,31.1,Normal
2024-07-08,Nayagarh,31.6,88,20.1,1002,0,46.3,Danger
2024-07-08,Nuapada,29.6,81,14.7,1001,0,36.7,Caution
2024-07-08,Puri,28.7,100,18.9,1000,0,39,Caution
2024-07-08,Rayagada,28.8,78,14.1,1001,0,33.8,Normal
2024-07-08,Sambalpur,31.3,87,19.6,1001,0,44.7,Extreme Caution
2024-07-08,Subarnapur,31.8,91,14.5,1003,26.1,48.5,Danger
2024-07-08,Sundargarh,28.7,84,20.6,1002,3.5,34.7,Normal
2024-07-09,Angul,32.9,82,18.2,1001,7.7,48.8,Danger
2024-07-09,Balangir,35.4,76,15.8,1001,26.2,55.6,Extreme Danger
2024-07-09,Baleshwar,29.3,83,22,1002,3.1,36.3,Caution
2024-07-09,Bargarh,28.7,84,21,1001,0,34.7,Normal
2024-07-09,Bhadrak,31.3,80,21.6,1000,12.8,41.9,Extreme Caution
2024-07-09,Boudh,28,81,19.5,1000,20.8,32.3,Normal
2024-07-09,Cuttack,30.6,79,22,1003,30.1,39.2,Caution
2024-07-09,Debagarh,31.3,79,14.3,1001,0,41.5,Extreme Caution
2024-07-09,Dhenkanal,27.9,91,21.9,1003,0,33.9,Normal
2024-07-09,Gajapati,29.7,87,17.7,1004,20.8,38.7,Caution
2024-07-09,Ganjam,28.4,87,21.7,1003,22.2,34.5,Normal
2024-07-09,Jagatsinghapur,29.3,98,14.3,1001,0,40.8,Caution
2024-07-09,Jajapur,29.7,89,20.2,1001,20.7,39.4,Caution
2024-07-09,Jharsuguda,35.8,85,20.4,1001,26.6,64,Extreme Danger
2024-07-09,Kalahandi,30.2,83,18.9,1002,24.8,39.2,Caution
2024-07-09,Kandhamal,27.4,90,15.3,1004,18.9,32.2,Normal
2024-07-09,Kendrapara,29.6,94,17.5,1000,0,40.6,Caution
2024-07-09,Kendujhar,27.6,83,15.6,1003,0,31.5,Normal
2024-07-09,Khordha,28.9,87,20,1001,0,36.1,Caution
2024-07-09,Koraput,27.6,86,19.1,1002,43.3,32,Normal
2024-07-09,Malkangiri,32.7,90,18.7,1002,0,52.1,Danger
2024-07-09,Mayurbhanj,31.4,89,19.2,1002,21.9,45.9,Extreme Caution
2024-07-09,Nabarangapur,27.2,79,16.5,1001,0,30.1,Normal
2024-07-09,Nayagarh,29.2,89,20.5,1003,13.7,37.6,Caution
2024-07-09,Nuapada,29.9,82,19.4,1002,16,37.9,Caution
2024-07-09,Puri,27.1,86,19.1,1000,0,30.7,Normal
2024-07-09,Rayagada,28.4,82,17.8,1000,0,33.5,Normal
2024-07-09,Sambalpur,34.6,76,17.1,1003,27.8,52.3,Danger
2024-07-09,Subarnapur,27.3,89,15.6,1000,2.2,31.7,Normal
2024-07-09,Sundargarh,32.2,80,21.1,1001,0,45.1,Extreme Caution
2024-07-10,Angul,31.1,74,15.5,1004,19.8,39.1,Caution
2024-07-10,Balangir,31.8,82,19.4,1001,14.8,44.5,Extreme Caution
2024-07-10,Baleshwar,27.8,87,18.2,1000,24.2,32.8,Normal
2024-07-10,Bargarh,29.4,82,18.5,1004,5.2,36.4,Caution
2024-07-10,Bhadrak,32.3,81,18,1003,2.3,45.9,Extreme Caution
2024-07-10,Boudh,28.3,84,17.7,1002,12.2,33.6,Normal
2024-07-10,Cuttack,31.4,86,15.7,1000,0,44.6,Extreme Caution
2024-07-10,Debagarh,29.3,88,18.7,1002,0,37.7,Caution
2024-07-10,Dhenkanal,32.5,83,20.3,1004,0,47.6,Danger
2024-07-10,Gajapati,29.5,86,15.2,1001,0,37.8,Caution
2024-07-10,Ganjam,27.1,97,18.1,1001,0,32.7,Normal
2024-07-10,Jagatsinghapur,26.3,93,18.5,1000,41.2,27.4,Normal
2024-07-10,Jajapur,31.9,91,18.3,1004,16.2,49,Danger
2024-07-10,Jharsuguda,35.7,84,18.6,1004,0,62.7,Extreme Danger
2024-07-10,Kalahandi,32.9,81,20.2,1003,0,48.3,Danger
2024-07-10,Kandhamal,26.6,93,16.8,1004,0,27.7,Normal
2024-07-10,Kendrapara,31.1,100,17.9,1003,18.2,49.5,Danger
2024-07-10,Kendujhar,32.2,86,14.7,1003,19,47.9,Danger
2024-07-10,Khordha,29.2,91,16.9,1001,4.4,38.2,Caution
2024-07-10,Koraput,28.4,97,21,1003,20.6,37.1,Caution
2024-07-10,Malkangiri,32.4,80,20.4,1002,0,45.8,Extreme Caution
2024-07-10,Mayurbhanj,27.4,92,20.4,1002,0,32.6,Normal
2024-07-10,Nabarangapur,27.2,80,15.5,1002,5.2,30.2,Normal
2024-07-10,Nayagarh,31.8,80,20.7,1004,12.1,43.6,Extreme Caution
2024-07-10,Nuapada,32,87,21.1,1002,18.6,47.5,Danger
2024-07-10,Puri,28,89,14.3,1002,0,33.8,Normal
2024-07-10,Rayagada,27.2,80,19.9,1004,35.4,30.2,Normal
2024-07-10,Sambalpur,30,86,21.4,1000,0,39.5,Caution
2024-07-10,Subarnapur,29.1,78,18.1,1002,0,34.6,Normal
2024-07-10,Sundargarh,28.4,78,16.8,1000,40.9,32.8,Normal
2024-07-11,Angul,31,83,21.3,1003,0,42,Extreme Caution
2024-07-11,Balangir,35.2,74,19.1,1002,0,53.5,Danger
2024-07-11,Baleshwar,29.9,89,21.5,1002,18,40.1,Caution
2024-07-11,Bargarh,31.5,88,21.8,1002,5.1,45.9,Extreme Caution
2024-07-11,Bhadrak,32.5,78,19.9,1003,0,45.3,Extreme Caution
2024-07-11,Boudh,32.3,79,16,1002,0,45,Extreme Caution
2024-07-11,Cuttack,30.6,90,21.1,1001,8,43.1,Extreme Caution
2024-07-11,Debagarh,32.1,87,14.5,1004,0,47.9,Danger
2024-07-11,Dhenkanal,32.9,86,21.4,1004,1.6,50.9,Danger
2024-07-11,Gajapati,28.3,89,14.3,1004,0,34.7,Normal
2024-07-11,Ganjam,28.7,98,19.6,1002,44,38.4,Caution
2024-07-11,Jagatsinghapur,27.5,89,15.7,1003,0,32.3,Normal
2024-07-11,Jajapur,27.4,91,14.1,1002,27,32.4,Normal
2024-07-11,Jharsuguda,33.2,75,20.2,1004,0,46.4,Danger
2024-07-11,Kalahandi,28,86,18.1,1002,0.4,33.1,Normal
2024-07-11,Kandhamal,25.8,95,14.8,1001,16,26.9,Normal
2024-07-11,Kendrapara,26.7,98,18.3,1002,0,31.6,Normal
2024-07-11,Kendujhar,32.2,91,17,1003,0,50.4,Danger
2024-07-11,Khordha,28.7,82,14.1,1002,0,34.3,Normal
2024-07-11,Koraput,26.2,97,18.2,1003,20.9,27.4,Normal
2024-07-11,Malkangiri,29.9,81,17.3,1002,0,37.6,Caution
2024-07-11,Mayurbhanj,32.9,86,21.4,1002,25.8,50.9,Danger
2024-07-11,Nabarangapur,31.6,87,20.1,1004,22.5,45.9,Extreme Caution
2024-07-11,Nayagarh,32.1,88,15.6,1002,29.7,48.4,Danger
2024-07-11,Nuapada,28.8,82,15.5,1001,34.8,34.6,Normal
2024-07-11,Puri,31,100,21.5,1001,1.2,49,Danger
2024-07-11,Rayagada,28.9,80,15.2,1004,17.2,34.5,Normal
2024-07-11,Sambalpur,31.6,83,19.2,1001,23.6,44.2,Extreme Caution
2024-07-11,Subarnapur,31.1,88,21.5,1001,44.3,44.3,Extreme Caution
2024-07-11,Sundargarh,30.6,89,15.8,1002,21.7,42.7,Extreme Caution
2024-07-12,Angul,35.5,87,19.8,1002,0.3,64,Extreme Danger
2024-07-12,Balangir,31,83,16.6,1001,0,42,Extreme Caution
2024-07-12,Baleshwar,32.4,83,17.6,1003,20.7,47.2,Danger
2024-07-12,Bargarh,29.8,78,15.5,1001,28.2,36.5,Caution
2024-07-12,Bhadrak,31,86,15.6,1003,18.9,43.1,Extreme Caution
2024-07-12,Boudh,27.6,78,20.2,1003,6.8,30.9,Normal
2024-07-12,Cuttack,29.2,92,17.4,1004,15.5,38.5,Caution
2024-07-12,Debagarh,29.1,88,20.3,1002,26.9,37,Caution
2024-07-12,Dhenkanal,30.7,86,17.9,1004,3.8,42,Extreme Caution
2024-07-12,Gajapati,32,91,19.5,1004,28,49.4,Danger
2024-07-12,Ganjam,26.9,90,20.2,1003,2.3,30.8,Normal
2024-07-12,Jagatsinghapur,28.3,89,18,1004,36.6,34.7,Normal
2024-07-12,Jajapur,32.6,90,18.1,1003,0,51.7,Danger
2024-07-12,Jharsuguda,31.2,77,17.5,1001,0,40.5,Caution
2024-07-12,Kalahandi,30.5,79,19.5,1003,12.6,38.9,Caution
2024-07-12,Kandhamal,28.3,90,18.7,1002,23.6,34.9,Normal
2024-07-12,Kendrapara,27.1,99,14.4,1000,43.6,33,Normal
2024-07-12,Kendujhar,27.6,88,17.2,1001,27.2,32.4,Normal
2024-07-12,Khordha,29.3,79,20.8,1000,0,35.4,Caution
2024-07-12,Koraput,26.3,90,15.5,1003,37.2,27.3,Normal
2024-07-12,Malkangiri,27.7,85,15.2,1001,0,32.1,Normal
2024-07-12,Mayurbhanj,27.5,87,15.5,1001,9,31.9,Normal
2024-07-12,Nabarangapur,27.1,81,15.4,1003,0,30.1,Normal
2024-07-12,Nayagarh,29.4,79,15.7,1002,30.9,35.6,Caution
2024-07-12,Nuapada,30.8,86,20.5,1001,4.8,42.3,Extreme Caution
2024-07-12,Puri,28.1,94,16.9,1002,0,35.3,Caution
2024-07-12,Rayagada,31.9,80,20.3,1002,0,44,Extreme Caution
2024-07-12,Sambalpur,30.6,76,16.9,1003,32.8,38.3,Caution
2024-07-12,Subarnapur,28.3,84,17.3,1000,40.9,33.6,Normal
2024-07-12,Sundargarh,29,85,19.9,1004,0,35.9,Caution
2024-07-13,Angul,35.9,76,16.6,1001,0,57.8,Extreme Danger
2024-07-13,Balangir,34.9,80,19.2,1004,40.3,56.1,Extreme Danger
2024-07-13,Baleshwar,29.4,84,21.5,1001,40.2,36.9,Caution
2024-07-13,Bargarh,28.8,86,21.9,1004,2.9,35.5,Caution
2024-07-13,Bhadrak,31.5,92,15.4,1002,35.5,47.7,Danger
